x,y,is_wall
-0.16,-0.38,1
-0.17,-0.38,1
0.68,0.25,1
0.28,0.38,1
0.46,0.37,1
0.47,0.37,1
0.49,0.37,1
0.5,0.37,1
0.52,0.37,1
0.53,0.39,1
1.33,0.13,1
1.34,0.16,1
-0.24,0.2,1
2.32,-0.65,0
0.84,0.13,1
0.79,0.37,1
0.76,-0.35,1
0.65,0.31,1
1.3,-0.28,1
1.29,-0.28,1
0.68,0.38,1
0.87,-0.34,0
1.28,0.15,1
1.28,0.14,1
0.77,0.39,1
0.78,-0.33,1
0.75,0.38,1
0.8,-0.34,1
1.64,-0.63,1
0.75,-0.33,1
0.87,-0.4,1
0.68,0.32,1
0.85,0.13,1
0.8,0.22,1
0.63,-0.33,1
0.61,-0.34,1
2.46,-0.69,0
0.88,0.16,1
0.78,0.37,1
0.77,-0.35,1
1.34,0.1,1
0.99,0.17,1
1.36,-0.29,1
1.37,-0.1,1
1.58,-0.6,0
0.69,-0.3,1
0.67,-0.34,1
0.71,0.18,1
0.8,0.21,1
0.69,0.16,1
2.39,-0.66,1
0.21,-0.41,1
2.45,-0.69,0
1.01,-0.39,1
1.34,0.07,1
-0.25,0.02,1
0.74,-0.41,1
0.81,0.31,1
0.79,0.18,1
0.9,0.17,1
1.28,0.17,1
0.85,0.37,1
0.7,-0.35,1
-0.25,0.38,1
-0.25,0.39,1
2.43,-0.68,1
-0.18,-0.38,1
1.21,0.15,1
0.81,0.28,1
1.67,-0.65,1
0.77,0.37,1
0.78,-0.35,1
0.88,-0.39,1
0.67,0.33,1
0.66,0.32,1
0.8,0.17,1
1.33,-0.05,1
1.33,-0.04,1
0.62,-0.34,1
0.24,-0.41,1
1.33,-0.02,1
1.37,0.14,1
0.95,0.18,1
1.35,0.05,1
0.8,0.23,1
1.33,-0.09,1
2.41,-0.68,0
1,0.15,1
1.34,-0.07,1
2.32,-0.64,0
0.88,0.17,1
1,-0.38,1
1.35,0.08,1
1.37,-0.04,1
0.79,0.22,1
0.65,-0.34,1
1.54,-0.61,1
0.65,-0.31,1
-0.26,0.42,1
0.71,0.15,1
0.8,0.19,1
2.4,-0.66,1
0.31,0.4,1
1.11,0.14,1
1.67,-0.64,1
0.77,0.38,1
0.78,-0.34,1
0.89,-0.39,1
0.66,0.33,1
2.41,-0.67,1
1.37,0.08,1
0.98,-0.38,0
1.31,-0.25,1
0.64,0.34,1
0.91,-0.38,1
1.37,0.18,1
0.58,-0.41,1
0.79,0.27,1
0.71,0.17,1
1.27,0.14,1
1.32,-0.34,1
0.18,0.4,1
0.98,0.14,1
0.53,0.37,1
1.33,0.11,1
1.31,-0.28,1
0.79,0.23,1
0.29,0.4,1
1.09,0.14,1
1.38,-0.09,1
0.67,-0.39,1
0.52,-0.41,1
1.31,-0.27,1
0.64,0.32,1
1.57,-0.63,1
0.68,-0.33,1
0.69,-0.39,0
0.75,-0.4,1
0.8,0.32,0
0.7,0.21,1
0.71,0.16,1
0.7,-0.3,1
1.26,0.14,1
1.34,0.09,1
0.02,-0.39,1
0.79,0.24,1
0.87,0.17,1
0.83,0.13,1
2.35,-0.65,0
-0.24,-0.39,1
0.54,0.39,1
1.34,0.13,1
0.86,0.37,1
0.69,-0.35,1
1.34,-0.09,1
0.85,-0.35,1
0.7,0.37,1
0.78,0.27,1
0.39,0.39,1
0.79,0.26,1
1.34,-0.11,1
0.66,-0.39,1
0.85,-0.4,1
0.7,0.32,1
0.96,-0.39,1
1.32,0.17,1
1.38,0.02,1
0.98,0.15,1
0.71,0.37,1
0.84,-0.35,1
1.27,0.16,1
0.79,-0.4,1
0.76,0.32,1
0.71,0.23,1
1.3,0.17,1
-0.22,-0.39,1
-0.2,0.42,1
0.77,0.15,1
0.77,0.16,1
0.77,0.2,1
1.34,0.03,1
0.94,0.16,1
0.77,0.23,1
0.74,0.17,1
-0.25,-0.26,1
0.77,0.27,1
0.74,0.19,1
-0.25,-0.24,1
1.17,0.16,1
0.77,0.29,1
0.74,0.2,1
-0.25,-0.23,1
0.43,0.38,1
0.78,-0.42,1
1.17,0.17,1
0.77,0.3,0
0.74,0.23,1
-0.25,-0.2,1
-0.24,-0.01,1
1.14,0.14,1
0.34,0.4,1
0.74,0.27,1
