x,y,theta
4.97759e-05,-7.61007e-06,-0.199046
4.97759e-05,-7.61007e-06,-0.198799
4.97799e-05,-7.58979e-06,-0.197165
4.97799e-05,-7.58979e-06,-0.199178
-2.46604e-05,7.38756e-06,-0.198115
4.98056e-05,-7.46185e-06,-0.196787
4.98056e-05,-7.46185e-06,-0.198716
4.9812e-05,-7.42988e-06,-0.198477
4.98191e-05,-7.39442e-06,-0.197048
2.50009e-05,-2.42599e-06,-0.197493
4.98187e-05,-7.39664e-06,-0.197848
1.87229e-07,2.56536e-06,-0.196909
2.50127e-05,-2.36724e-06,-0.199138
4.98239e-05,-7.37064e-06,-0.197073
4.98239e-05,-7.37064e-06,-0.198561
4.98239e-05,-7.37064e-06,-0.19927
4.98246e-05,-7.36683e-06,-0.198963
4.98246e-05,-7.36699e-06,-0.198622
4.98246e-05,-7.36699e-06,-0.198123
4.98246e-05,-7.36699e-06,-0.199623
1.95094e-07,2.60466e-06,-0.198425
4.98152e-05,-7.41359e-06,-0.199379
2.50022e-05,-2.41893e-06,-0.197896
2.5005e-05,-2.40503e-06,-0.199016
4.98126e-05,-7.42639e-06,-0.199409
4.98126e-05,-7.42639e-06,-0.198445
1.92648e-07,2.59257e-06,-0.19952
4.98167e-05,-7.40634e-06,-0.198274
1.94745e-07,2.60298e-06,-0.199436
4.98224e-05,-7.37796e-06,-0.198206
2.50128e-05,-2.36658e-06,-0.199985
4.98235e-05,-7.37251e-06,-0.199346
4.98235e-05,-7.37251e-06,-0.200776
2.00213e-07,2.63013e-06,-0.199221
4.98086e-05,-7.4462e-06,-0.200796
4.9818e-05,-7.3998e-06,-0.199892
4.98194e-05,-7.39267e-06,-0.199605
2.03907e-07,2.64858e-06,-0.199764
2.50053e-05,-2.40322e-06,-0.202118
4.98026e-05,-7.47528e-06,-0.200284
4.98026e-05,-7.47528e-06,-0.20094
4.98029e-05,-7.47398e-06,-0.200834
1.88035e-07,2.57052e-06,-0.199084
2.49999e-05,-2.42963e-06,-0.199961
4.98063e-05,-7.45694e-06,-0.201394
2.50033e-05,-2.41288e-06,-0.202317
4.98059e-05,-7.45896e-06,-0.199786
4.98059e-05,-7.45896e-06,-0.202309
2.50097e-05,-2.38154e-06,-0.19963
4.98118e-05,-7.42984e-06,-0.201397
2.5015e-05,-2.35544e-06,-0.200195
4.98219e-05,-7.3804e-06,-0.199529
2.12138e-07,2.68909e-06,-0.201568
2.10783e-07,2.68245e-06,-0.2013
4.98112e-05,-7.43287e-06,-0.199328
4.97968e-05,-7.50403e-06,-0.201691
0.0124268,-0.00252284,-0.198379
0.071587,-0.0140063,-0.188994
0.0990139,-0.0189383,-0.168251
0.122493,-0.0227825,-0.156326
0.178799,-0.0305809,-0.108823
0.212322,-0.0341625,-0.112528
0.241612,-0.0373363,-0.0978119
0.274876,-0.0404613,-0.0945413
0.310867,-0.0442803,-0.114237
0.34019,-0.0473875,-0.09822
0.388983,-0.0521702,-0.100455
0.395832,-0.0528672,-0.102378
0.447883,-0.0576069,-0.0830111
0.476862,-0.0600441,-0.0850701
0.513073,-0.0628602,-0.0649054
0.573675,-0.067037,-0.0590722
0.60033,-0.0686268,-0.0657707
0.62897,-0.0705209,-0.0713736
0.665323,-0.0734672,-0.0908106
0.694263,-0.0757602,-0.0702065
0.723743,-0.0776002,-0.0542993
0.774073,-0.080984,-0.0764798
0.803555,-0.0831774,-0.0716587
0.829391,-0.0848842,-0.0611974
0.89362,-0.0875841,-0.0229127
0.921508,-0.0880388,-0.0097337
0.94859,-0.0879191,0.0247937
0.987333,-0.08555,0.111225
0.991255,-0.0850901,0.122254
1.02414,-0.0789097,0.266655
1.02691,-0.0781275,0.282401
1.0482,-0.0702648,0.42437
1.05865,-0.0650812,0.498054
1.07102,-0.0575633,0.593949
1.08148,-0.0499259,0.666773
1.09277,-0.0403508,0.738548
1.1083,-0.0249164,0.824092
1.11821,-0.0136818,0.870179
1.12685,-0.00306185,0.903086
1.13618,0.00917724,0.935631
1.1454,0.0221251,0.968551
1.15716,0.0398079,1.00147
1.163,0.050196,1.13908
1.16642,0.0642049,1.53522
1.16331,0.0809202,1.9635
1.15809,0.0901081,2.21291
1.1509,0.0978208,2.42536
1.14001,0.105111,2.67576
